run_a,run_b,n_common,spearman_rho,jaccard_top10pct,same_architecture
resnet_baseline_S1_seed42,vit_b16_S12_seed42,241,0.026447995610575772,0.06382978723404255,False
resnet_baseline_S3_seed84,vit_b16_S14_seed84,241,0.026012482425156892,0.06521739130434782,False
cbam_resnet_S9_seed126,vit_b16_S15_seed126,241,0.024611638832687497,0.11363636363636363,False
resnet_baseline_S10_seed126,vit_b16_S15_seed126,241,0.022665546449024382,0.06521739130434782,False
cbam_resnet_S7_seed42,vit_b16_S12_seed42,239,0.017638268696599978,0.044444444444444446,False
resnet_baseline_S10_seed126,vit_b16_S16_seed3407,241,0.015216384897637259,0.06382978723404255,False
resnet_baseline_S1_seed42,vit_b16_S14_seed84,241,0.012680463632934399,0.020833333333333332,False
cbam_resnet_S8_seed84,vit_b16_S14_seed84,241,0.0004037927368745928,0.0425531914893617,False
cbam_resnet_S8_seed84,vit_b16_S12_seed42,241,-0.012661602825691851,0.08695652173913043,False
cbam_resnet_S7_seed42,vit_b16_S15_seed126,239,-0.016677507823212964,0.06818181818181818,False
resnet_baseline_S10_seed126,vit_b16_S12_seed42,241,-0.02102980007544323,0.06382978723404255,False
se_resnet_S2_seed42,vit_b16_S12_seed42,241,-0.023755186721991704,0.08695652173913043,False
se_resnet_S4_seed42,vit_b16_S12_seed42,241,-0.023755186721991704,0.08695652173913043,False
se_resnet_S2_seed42,vit_b16_S16_seed3407,241,-0.025505812557868386,0.06382978723404255,False
se_resnet_S4_seed42,vit_b16_S16_seed3407,241,-0.025505812557868386,0.06382978723404255,False
resnet_baseline_S3_seed84,vit_b16_S15_seed126,241,-0.02626195946641062,0.08888888888888889,False
cbam_resnet_S8_seed84,vit_b16_S15_seed126,241,-0.02936284763896986,0.06521739130434782,False
resnet_baseline_S1_seed42,vit_b16_S15_seed126,241,-0.034502417612564736,0.08888888888888889,False
se_resnet_S5_seed84,vit_b16_S16_seed3407,241,-0.03833459072048284,0.041666666666666664,False
se_resnet_S11_seed3407,vit_b16_S16_seed3407,242,-0.041327394401705984,0.08695652173913043,False
resnet_baseline_S10_seed126,vit_b16_S14_seed84,241,-0.04682966976441137,0.08888888888888889,False
cbam_resnet_S8_seed84,vit_b16_S16_seed3407,241,-0.05081358663969,0.1111111111111111,False
resnet_baseline_S1_seed42,vit_b16_S16_seed3407,241,-0.06058691402901135,0.041666666666666664,False
cbam_resnet_S7_seed42,vit_b16_S14_seed84,239,-0.08011761189831582,0.044444444444444446,False
se_resnet_S5_seed84,vit_b16_S14_seed84,241,-0.09192585988134838,0.06521739130434782,False
se_resnet_S5_seed84,vit_b16_S15_seed126,241,-0.13210023661739997,0.13953488372093023,False
