model,serial,seed,epoch,complete_run,true_label,predicted_label,count
vit_b16,14,84,48,True,CNV,NORMAL,0
vit_b16,14,84,48,True,DME,CNV,0
vit_b16,14,84,48,True,DME,DME,242
vit_b16,14,84,48,True,DME,DRUSEN,0
vit_b16,14,84,48,True,DME,NORMAL,0
vit_b16,14,84,48,True,DRUSEN,CNV,15
vit_b16,14,84,48,True,DRUSEN,DME,0
vit_b16,14,84,48,True,DRUSEN,DRUSEN,227
vit_b16,14,84,48,True,DRUSEN,NORMAL,0
vit_b16,14,84,48,True,NORMAL,CNV,0
vit_b16,14,84,48,True,NORMAL,DME,0
vit_b16,14,84,48,True,NORMAL,DRUSEN,0
vit_b16,14,84,48,True,NORMAL,NORMAL,242
vit_b16,15,126,50,True,CNV,CNV,242
vit_b16,15,126,50,True,CNV,DME,0
vit_b16,15,126,50,True,CNV,DRUSEN,0
vit_b16,15,126,50,True,CNV,NORMAL,0
vit_b16,15,126,50,True,DME,CNV,2
vit_b16,15,126,50,True,DME,DME,240
vit_b16,15,126,50,True,DME,DRUSEN,0
vit_b16,15,126,50,True,DME,NORMAL,0
vit_b16,15,126,50,True,DRUSEN,CNV,12
vit_b16,15,126,50,True,DRUSEN,DME,0
vit_b16,15,126,50,True,DRUSEN,DRUSEN,230
vit_b16,15,126,50,True,DRUSEN,NORMAL,0
vit_b16,15,126,50,True,NORMAL,CNV,0
vit_b16,15,126,50,True,NORMAL,DME,0
vit_b16,15,126,50,True,NORMAL,DRUSEN,0
vit_b16,15,126,50,True,NORMAL,NORMAL,242
vit_b16,16,3407,39,True,CNV,CNV,242
vit_b16,16,3407,39,True,CNV,DME,0
vit_b16,16,3407,39,True,CNV,DRUSEN,0
vit_b16,16,3407,39,True,CNV,NORMAL,0
vit_b16,16,3407,39,True,DME,CNV,0
vit_b16,16,3407,39,True,DME,DME,242
vit_b16,16,3407,39,True,DME,DRUSEN,0
vit_b16,16,3407,39,True,DME,NORMAL,0
vit_b16,16,3407,39,True,DRUSEN,CNV,17
vit_b16,16,3407,39,True,DRUSEN,DME,0
vit_b16,16,3407,39,True,DRUSEN,DRUSEN,225
vit_b16,16,3407,39,True,DRUSEN,NORMAL,0
vit_b16,16,3407,39,True,NORMAL,CNV,0
vit_b16,16,3407,39,True,NORMAL,DME,0
vit_b16,16,3407,39,True,NORMAL,DRUSEN,0
vit_b16,16,3407,39,True,NORMAL,NORMAL,242
resnet_baseline,17,3407,42,True,CNV,CNV,241
resnet_baseline,17,3407,42,True,CNV,DME,1
resnet_baseline,17,3407,42,True,CNV,DRUSEN,0
resnet_baseline,17,3407,42,True,CNV,NORMAL,0
resnet_baseline,17,3407,42,True,DME,CNV,1
resnet_baseline,17,3407,42,True,DME,DME,241
resnet_baseline,17,3407,42,True,DME,DRUSEN,0
resnet_baseline,17,3407,42,True,DME,NORMAL,0
resnet_baseline,17,3407,42,True,DRUSEN,CNV,8
resnet_baseline,17,3407,42,True,DRUSEN,DME,0
resnet_baseline,17,3407,42,True,DRUSEN,DRUSEN,234
resnet_baseline,17,3407,42,True,DRUSEN,NORMAL,0
resnet_baseline,17,3407,42,True,NORMAL,CNV,0
resnet_baseline,17,3407,42,True,NORMAL,DME,0
resnet_baseline,17,3407,42,True,NORMAL,DRUSEN,2
resnet_baseline,17,3407,42,True,NORMAL,NORMAL,240
cbam_resnet,18,3407,40,True,CNV,CNV,242
cbam_resnet,18,3407,40,True,CNV,DME,0
cbam_resnet,18,3407,40,True,CNV,DRUSEN,0
cbam_resnet,18,3407,40,True,CNV,NORMAL,0
cbam_resnet,18,3407,40,True,DME,CNV,5
cbam_resnet,18,3407,40,True,DME,DME,237
cbam_resnet,18,3407,40,True,DME,DRUSEN,0
cbam_resnet,18,3407,40,True,DME,NORMAL,0
cbam_resnet,18,3407,40,True,DRUSEN,CNV,16
cbam_resnet,18,3407,40,True,DRUSEN,DME,0
cbam_resnet,18,3407,40,True,DRUSEN,DRUSEN,226
cbam_resnet,18,3407,40,True,DRUSEN,NORMAL,0
cbam_resnet,18,3407,40,True,NORMAL,CNV,0
cbam_resnet,18,3407,40,True,NORMAL,DME,0
cbam_resnet,18,3407,40,True,NORMAL,DRUSEN,0
cbam_resnet,18,3407,40,True,NORMAL,NORMAL,242
