model,serial,seed,epoch,complete_run,class,precision_pct,recall_pct,f1_pct,support
cbam_resnet,8,84,33,True,CNV,94.90196078431372,100.0,97.38430583501007,242
cbam_resnet,8,84,33,True,DME,100.0,98.7603305785124,99.37629937629939,242
cbam_resnet,8,84,33,True,DRUSEN,99.57081545064378,95.86776859504133,97.68421052631578,242
cbam_resnet,8,84,33,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
cbam_resnet,9,126,45,True,CNV,96.01593625498009,99.58677685950413,97.76876267748479,242
cbam_resnet,9,126,45,True,DME,99.58677685950413,99.58677685950413,99.58677685950413,242
cbam_resnet,9,126,45,True,DRUSEN,99.57264957264957,96.28099173553719,97.89915966386555,242
cbam_resnet,9,126,45,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
resnet_baseline,10,126,39,True,CNV,97.5609756097561,99.17355371900827,98.36065573770492,242
resnet_baseline,10,126,39,True,DME,99.18032786885246,100.0,99.58847736625515,242
resnet_baseline,10,126,39,True,DRUSEN,99.57805907172997,97.52066115702479,98.53862212943632,242
resnet_baseline,10,126,39,True,NORMAL,100.0,99.58677685950413,99.79296066252587,242
se_resnet,11,3407,42,True,CNV,92.72030651340997,100.0,96.22266401590457,242
se_resnet,11,3407,42,True,DME,100.0,99.17355371900827,99.5850622406639,242
se_resnet,11,3407,42,True,DRUSEN,100.0,92.97520661157024,96.35974304068522,242
se_resnet,11,3407,42,True,NORMAL,100.0,100.0,100.0,242
vit_b16,12,42,48,True,CNV,96.03174603174604,100.0,97.97570850202429,242
vit_b16,12,42,48,True,DME,100.0,99.58677685950413,99.79296066252587,242
vit_b16,12,42,48,True,DRUSEN,100.0,96.28099173553719,98.10526315789474,242
vit_b16,12,42,48,True,NORMAL,100.0,100.0,100.0,242
vit_b16,13,84,4,False,CNV,94.140625,99.58677685950413,96.78714859437751,242
vit_b16,13,84,4,False,DME,99.15254237288136,96.69421487603306,97.90794979079497,242
vit_b16,13,84,4,False,DRUSEN,99.56331877729258,94.21487603305785,96.81528662420382,242
vit_b16,13,84,4,False,NORMAL,97.16599190283401,99.17355371900827,98.15950920245399,242
vit_b16,14,84,48,True,CNV,94.140625,99.58677685950413,96.78714859437751,242
vit_b16,14,84,48,True,DME,99.58847736625515,100.0,99.79381443298969,242
vit_b16,14,84,48,True,DRUSEN,100.0,93.80165289256198,96.80170575692964,242
vit_b16,14,84,48,True,NORMAL,100.0,100.0,100.0,242
vit_b16,15,126,50,True,CNV,94.53125,100.0,97.18875502008032,242
vit_b16,15,126,50,True,DME,100.0,99.17355371900827,99.5850622406639,242
vit_b16,15,126,50,True,DRUSEN,100.0,95.0413223140496,97.45762711864407,242
vit_b16,15,126,50,True,NORMAL,100.0,100.0,100.0,242
vit_b16,16,3407,39,True,CNV,93.43629343629344,100.0,96.6067864271457,242
vit_b16,16,3407,39,True,DME,100.0,100.0,100.0,242
vit_b16,16,3407,39,True,DRUSEN,100.0,92.97520661157024,96.35974304068522,242
vit_b16,16,3407,39,True,NORMAL,100.0,100.0,100.0,242
resnet_baseline,17,3407,42,True,CNV,96.39999999999999,99.58677685950413,97.96747967479675,242
resnet_baseline,17,3407,42,True,DME,99.58677685950413,99.58677685950413,99.58677685950413,242
resnet_baseline,17,3407,42,True,DRUSEN,99.15254237288136,96.69421487603306,97.90794979079497,242
resnet_baseline,17,3407,42,True,NORMAL,100.0,99.17355371900827,99.5850622406639,242
cbam_resnet,18,3407,40,True,CNV,92.01520912547528,100.0,95.84158415841584,242
cbam_resnet,18,3407,40,True,DME,100.0,97.93388429752066,98.95615866388309,242
cbam_resnet,18,3407,40,True,DRUSEN,100.0,93.38842975206612,96.58119658119658,242
cbam_resnet,18,3407,40,True,NORMAL,100.0,100.0,100.0,242
